representation,anchor_a,anchor_b,parallel_branch_index,dense_length_mm,length_mm,absolute_length_error_mm,absolute_arc_chord_tortuosity_error,reference_samples,representation_samples,subject,stratum
junction_only,46,105,0,5.6366174043832675,5.399076255625817,0.23754114875745014,0.04399662785090934,24,23,topcow_ct_005,TopBrain-CT
junction_only,47,58,0,72.85453468809328,44.6224641480121,28.23207054008118,0.6326873936507807,293,180,topcow_ct_005,TopBrain-CT
junction_only,47,115,0,30.579854926707668,16.920901114634823,13.658953812072845,0.807223783150607,124,69,topcow_ct_005,TopBrain-CT
junction_only,48,49,0,3.962694763526649,3.3262263510292334,0.6364684124974156,0.1913484968635623,17,15,topcow_ct_005,TopBrain-CT
junction_only,48,109,0,2.8938441498743845,2.493754405541221,0.40008974433316347,0.16043670677599534,13,11,topcow_ct_005,TopBrain-CT
junction_only,49,50,0,4.996329124685962,4.656046818134054,0.3402823065519085,0.07308395294192493,21,20,topcow_ct_005,TopBrain-CT
junction_only,49,111,0,3.88432072932046,3.6231979626515716,0.26112276666888823,0.07206969350297114,17,16,topcow_ct_005,TopBrain-CT
junction_only,50,53,0,2.1857890794460753,1.9589600338093935,0.22682904563668171,0.11579054279917593,10,9,topcow_ct_005,TopBrain-CT
junction_only,51,52,0,13.04476734776117,2.272954201206274,10.771813146554896,4.739124589856766,54,11,topcow_ct_005,TopBrain-CT
junction_only,51,52,1,2.696873970766913,2.272954201206274,0.42391976956063937,0.18650607624898996,12,11,topcow_ct_005,TopBrain-CT
junction_only,52,54,0,15.209114950387734,10.391723391192748,4.817391559194986,0.46357965640981635,62,43,topcow_ct_005,TopBrain-CT
junction_only,53,112,0,3.1477022957041054,2.6179802903729525,0.5297220053311529,0.20233995163335997,14,12,topcow_ct_005,TopBrain-CT
junction_only,54,113,0,5.216108082390445,4.331310876195566,0.8847972061948788,0.204279312080237,22,19,topcow_ct_005,TopBrain-CT
junction_only,54,116,0,8.049456906227343,7.100053985820284,0.9494029204070591,0.13371770444325326,34,30,topcow_ct_005,TopBrain-CT
junction_only,55,121,0,58.69624368863445,27.21924332216548,31.477000366468975,1.1564245190032991,236,110,topcow_ct_005,TopBrain-CT
junction_only,56,58,0,14.44315323008504,11.641833515286853,2.8013197147981863,0.2406253028030149,59,48,topcow_ct_005,TopBrain-CT
junction_only,56,108,0,50.10767116949864,11.977135810641979,38.13053535885666,3.1836105026860215,202,49,topcow_ct_005,TopBrain-CT
junction_only,56,110,0,5.381146298648475,4.275979020298305,1.1051672783501703,0.25845947164471134,23,19,topcow_ct_005,TopBrain-CT
junction_only,57,59,0,18.51946947742023,13.940604509904242,4.5788649675159885,0.3284552663597112,76,57,topcow_ct_005,TopBrain-CT
junction_only,57,114,0,29.27976077683329,12.2821668908689,16.99759388596439,1.3839246801475351,119,51,topcow_ct_005,TopBrain-CT
junction_only,58,117,0,3.6826146487740905,3.4042514922749536,0.2783631564991369,0.08176926914207376,16,15,topcow_ct_005,TopBrain-CT
junction_only,59,60,0,10.703164573036965,8.994291402441398,1.7088731705955666,0.18999530859448388,44,37,topcow_ct_005,TopBrain-CT
junction_only,59,61,0,11.905020103370347,7.73309648523798,4.171923618132367,0.5394894045478833,49,32,topcow_ct_005,TopBrain-CT
junction_only,60,62,0,7.603364482729049,5.642404714040925,1.9609597686881237,0.3475397225243954,32,24,topcow_ct_005,TopBrain-CT
junction_only,60,120,0,8.94774495644033,5.623095380673909,3.324649575766421,0.5912490097879103,37,24,topcow_ct_005,TopBrain-CT
junction_only,61,63,0,10.640566612388113,9.233125708640737,1.4074409037473767,0.15243385048145028,44,38,topcow_ct_005,TopBrain-CT
junction_only,61,123,0,16.697294854771005,10.326898683815061,6.370396170955944,0.6168740844664249,68,43,topcow_ct_005,TopBrain-CT
junction_only,62,64,0,6.319232053157358,4.990646769285646,1.3285852838717123,0.2662150509325436,27,21,topcow_ct_005,TopBrain-CT
junction_only,62,65,0,4.765279757453253,4.131918913319815,0.6333608441334375,0.15328491614191914,21,18,topcow_ct_005,TopBrain-CT
junction_only,63,65,0,1.9238264325160603,1.7818666695701448,0.1419597629459155,0.07966912753363398,9,9,topcow_ct_005,TopBrain-CT
junction_only,63,66,0,4.596872941533826,3.86654824261899,0.7303246989148362,0.18888286220377115,20,17,topcow_ct_005,TopBrain-CT
junction_only,64,70,0,12.784172002608656,7.74221903374002,5.041952968868636,0.6512284071137973,53,32,topcow_ct_005,TopBrain-CT
junction_only,64,122,0,55.73477179472576,19.809998363358083,35.924773431367676,1.813466754132427,224,81,topcow_ct_005,TopBrain-CT
junction_only,65,72,0,30.246841199403143,18.1812922314953,12.065548967907844,0.6636243900753542,122,74,topcow_ct_005,TopBrain-CT
junction_only,66,67,0,37.016963212650225,23.56707929639352,13.449883916256706,0.5707064395677978,150,96,topcow_ct_005,TopBrain-CT
junction_only,66,71,0,11.015176650638967,9.448307140038368,1.5668695106005988,0.16583600505119014,46,39,topcow_ct_005,TopBrain-CT
junction_only,67,68,0,1.734960754508883,1.4662961549640987,0.2686645995447843,0.18322669580441092,8,7,topcow_ct_005,TopBrain-CT
