representation,nodes,edges,degree_2,endpoints,junctions,high_degree,components,cycle_rank,branches,physical_length_mm,dense_length_mm,relative_length_error,nodes_per_dense_mm,junctions_per_dense_mm,length_weighted_absolute_branch_length_error_fraction,length_weighted_tortuosity_error,closed_or_degenerate_branches,junction_angle_mae_deg,curve_acd_mm,curve_hd95_mm,curve_precision_0.5mm,curve_recall_0.5mm,curve_f1_0.5mm,curve_precision_1mm,curve_recall_1mm,curve_f1_1mm,curve_precision_2mm,curve_recall_2mm,curve_f1_2mm,dataset,modality,site,stratum,subject,split,spacing_x_mm,spacing_y_mm,spacing_z_mm
junction_only,232,295,0,65,167,21,4,67,295,2203.7702125776896,3335.198593864497,-0.3392386838277659,0.06956107514160992,0.05007198081314162,0.339238683827765,0.709363369148163,1,25.371963691901136,2.2718045517227345,10.13117218434177,0.3597938144329897,0.2531663383056572,0.29720588569437717,0.5082474226804123,0.38333802420489727,0.43704294074823063,0.6911340206185567,0.5527723050942865,0.6142580639863968,ixi,mra,IOP,IXI-IOP,IXI332-IOP-1134-MRA_IXI-IOP,train,0.45999998,0.46000002,0.80000001
adaptive,833,896,601,65,167,21,4,67,295,2820.7863109612367,3335.198593864497,-0.15423737700345166,0.24976023962483215,0.05007198081314162,0.15423737700345083,0.2707355754379264,1,18.45040218101317,0.2868497595476471,0.667026453311971,0.8954635108481263,0.8398536448072051,0.8667675426670293,0.9955621301775148,0.9933858710948494,0.9944728100310001,1.0,1.0,1.0,ixi,mra,IOP,IXI-IOP,IXI332-IOP-1134-MRA_IXI-IOP,train,0.45999998,0.46000002,0.80000001
dense,4680,4743,4448,65,167,21,4,67,295,3335.198593864497,3335.198593864497,0.0,1.4032147916497173,0.05007198081314162,0.0,0.0,1,0.0,1.5588480621006802e-15,3.584568170825494e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,IOP,IXI-IOP,IXI332-IOP-1134-MRA_IXI-IOP,train,0.45999998,0.46000002,0.80000001
junction_only,261,346,0,60,201,28,2,87,346,2421.3048646265747,3754.385693380425,-0.35507295670348477,0.0695186966166487,0.053537387049603015,0.35507295670348393,0.6717894873195446,4,26.67048190699641,2.3849620814673758,10.933578690499079,0.3863932898415657,0.27020958083832336,0.3180222735813516,0.5297297297297298,0.3994510978043912,0.4554573572976433,0.707735321528425,0.5595059880239521,0.6249514553326583,ixi,mra,IOP,IXI-IOP,IXI307-IOP-0872-MRA_IXI-IOP,train,0.46,0.46000001,0.79999997
adaptive,965,1050,704,60,201,28,2,87,346,3174.8716867210055,3754.385693380425,-0.1543565456477192,0.25703272886998463,0.053537387049603015,0.15435654564771822,0.2630500309193569,4,18.46001382101457,0.2689828417823269,0.634661070866448,0.9212861923468646,0.8685129740518962,0.89412155943518,0.9960715844609341,0.9938872255489022,0.9949782061298881,1.0,1.0,1.0,ixi,mra,IOP,IXI-IOP,IXI307-IOP-0872-MRA_IXI-IOP,train,0.46,0.46000001,0.79999997
dense,5012,5097,4751,60,201,28,2,87,346,3754.385693380425,3754.385693380425,0.0,1.3349720591672154,0.053537387049603015,0.0,0.0,4,0.0,1.9056790887924062e-15,4.305668810418408e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,IOP,IXI-IOP,IXI307-IOP-0872-MRA_IXI-IOP,train,0.46,0.46000001,0.79999997
junction_only,372,486,0,95,277,43,4,118,486,3401.6919942721747,5070.661684627469,-0.32914238696204995,0.07336320644853475,0.0546279789952799,0.32914238696205006,0.6364293047662396,2,25.4306483805622,2.0135766441173493,8.965983129684677,0.4106171201061712,0.2987216039731445,0.345843813605849,0.5786330457863305,0.44964591189184216,0.5060494170002824,0.7474452554744525,0.6150096569484043,0.6747908440354838,ixi,mra,IOP,IXI-IOP,IXI293-IOP-0876-MRA_IXI-IOP,train,0.46000001,0.46,0.79999999
adaptive,1250,1364,878,95,277,43,4,118,486,4232.133453759767,5070.661684627469,-0.1653686013819136,0.24651615070072158,0.0546279789952799,0.16536860138191378,0.280476912731639,2,20.66848458035958,0.2870297149006252,0.6649461899313849,0.8995215311004785,0.8376712958705049,0.8674953694509405,0.9983688560243584,0.9959532787639106,0.9971596044876665,1.0,0.9999080290628162,0.9999540124166475,ixi,mra,IOP,IXI-IOP,IXI293-IOP-0876-MRA_IXI-IOP,train,0.46000001,0.46,0.79999999
dense,6912,7026,6540,95,277,43,4,118,486,5070.661684627469,5070.661684627469,0.0,1.36313570691471,0.0546279789952799,0.0,0.0,2,0.0,1.991803741585426e-15,4.517916865610133e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ixi,mra,IOP,IXI-IOP,IXI293-IOP-0876-MRA_IXI-IOP,train,0.46000001,0.46,0.79999999
junction_only,233,296,0,67,166,26,2,65,296,2287.930012649284,3428.686318510229,-0.3327094402606669,0.0679560561554196,0.048415044299569325,0.33270944026066696,0.617626601520904,0,23.36171196572345,2.066578313966281,8.722009464976914,0.37420508744038156,0.2666483591926404,0.31140090793536734,0.549483306836248,0.417822325964575,0.4746925595300474,0.7243640699523053,0.5839626527529864,0.6466298616505162,ixi,mra,IOP,IXI-IOP,IXI563-IOP-1153-MRA_IXI-IOP,train,0.46000001,0.46,0.80000001
